old_id	new_id	new_id.scientific_name
NCBI:txid1006041	NCBI:txid1070812	HIV-1 M:G_PT482
NCBI:txid1006042	NCBI:txid1070527	HIV-1 M:B_PT16
NCBI:txid1006043	NCBI:txid1070740	HIV-1 M:G_PT271
NCBI:txid1006044	NCBI:txid1071026	HIV-1 M:G_PT9108
NCBI:txid1006045	NCBI:txid1070684	HIV-1 M:B_PT8731
NCBI:txid1006046	NCBI:txid1070683	HIV-1 M:B_PT709
NCBI:txid1006048	NCBI:txid1070682	HIV-1 M:B_PT695
NCBI:txid1006049	NCBI:txid1070687	HIV-1 M:B_PT983
NCBI:txid1006050	NCBI:txid1070836	HIV-1 M:G_PT806
NCBI:txid1006051	NCBI:txid1070802	HIV-1 M:G_PT251
NCBI:txid1006052	NCBI:txid1068955	HIV-1 M:B_PT073
NCBI:txid1006053	NCBI:txid1070813	HIV-1 M:G_PT471
NCBI:txid1006056	NCBI:txid1071024	HIV-1 M:G_PT955
NCBI:txid1006057	NCBI:txid1070831	HIV-1 M:G_PT6060
NCBI:txid1006058	NCBI:txid1071025	HIV-1 M:G_PT9456
NCBI:txid1006059	NCBI:txid1070832	HIV-1 M:G_PT658
NCBI:txid100606	NCBI:txid279233	Hantavirus Z37
NCBI:txid1006156	NCBI:txid1006155	Listeria weihenstephanensis
NCBI:txid100616	NCBI:txid228091	Candidula rugosiuscula
NCBI:txid100617	NCBI:txid100452	Candidula unifasciata
NCBI:txid100618	NCBI:txid100452	Candidula unifasciata
NCBI:txid100619	NCBI:txid100452	Candidula unifasciata
NCBI:txid1006202	NCBI:txid1007126	Arrenoseius urquharti
NCBI:txid1006349	NCBI:txid317050	Arctium pallidivirens
NCBI:txid100635	NCBI:txid152338	Lactococcus phage Q30
NCBI:txid100641	NCBI:txid254252	Lactococcus virus P2
NCBI:txid1006445	NCBI:txid83184	Diaporthe eres
NCBI:txid1006446	NCBI:txid83184	Diaporthe eres
NCBI:txid1006454	NCBI:txid1006455	Dasyspora emarginatae
NCBI:txid1006458	NCBI:txid1006459	Dasyspora guianensis
NCBI:txid1006472	NCBI:txid234845	Mucor hiemalis f. corticola
NCBI:txid1006497	NCBI:txid1070816	HIV-1 M:G_PT4773
NCBI:txid1006498	NCBI:txid1071028	HIV-1 M:G_PT836
NCBI:txid1006499	NCBI:txid1069548	HIV-1 M:B_PT114
NCBI:txid1006500	NCBI:txid1070527	HIV-1 M:B_PT16
NCBI:txid1006501	NCBI:txid1070833	HIV-1 M:G_PT7139
NCBI:txid1006502	NCBI:txid1070697	HIV-1 M:G_PT227
NCBI:txid1006503	NCBI:txid1070835	HIV-1 M:G_PT72
NCBI:txid1006504	NCBI:txid1070675	HIV-1 M:B_PT38
NCBI:txid1006505	NCBI:txid1070689	HIV-1 M:G_PT1544
NCBI:txid1006506	NCBI:txid1070684	HIV-1 M:B_PT8731
NCBI:txid1006508	NCBI:txid1068955	HIV-1 M:B_PT073
NCBI:txid1006509	NCBI:txid1071029	HIV-1 M:G_PT9000
NCBI:txid1006510	NCBI:txid1070690	HIV-1 M:G_PT1631
NCBI:txid1006511	NCBI:txid1070811	HIV-1 M:G_PT4132
NCBI:txid1006512	NCBI:txid1070801	HIV-1 M:G_PT13
NCBI:txid1006513	NCBI:txid1035696	HIV-1 M:B_PT893
NCBI:txid1006514	NCBI:txid1071031	HIV-1 M:G_PT919
NCBI:txid1006515	NCBI:txid1070530	HIV-1 M:B_PT2
NCBI:txid1006516	NCBI:txid1070676	HIV-1 M:B_PT423
NCBI:txid1006517	NCBI:txid1070529	HIV-1 M:B_PT24
NCBI:txid1006518	NCBI:txid1070683	HIV-1 M:B_PT709
NCBI:txid1006519	NCBI:txid1071024	HIV-1 M:G_PT955
NCBI:txid1006520	NCBI:txid1071023	HIV-1 M:G_PT98
NCBI:txid1006521	NCBI:txid1070531	HIV-1 M:B_PT3013
NCBI:txid1006522	NCBI:txid1070812	HIV-1 M:G_PT482
NCBI:txid1006523	NCBI:txid1069546	HIV-1 M:B_PT107
NCBI:txid1006524	NCBI:txid1071027	HIV-1 M:G_PT85
NCBI:txid1006525	NCBI:txid1070810	HIV-1 M:G_PT3
NCBI:txid1006526	NCBI:txid1070813	HIV-1 M:G_PT471
NCBI:txid1006527	NCBI:txid1071025	HIV-1 M:G_PT9456
NCBI:txid1006528	NCBI:txid1070698	HIV-1 M:G_PT176
NCBI:txid1006529	NCBI:txid1071026	HIV-1 M:G_PT9108
